M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before LicenseMgr Init : M=1576.4mb, Malloc-M=402mb, Available-M=115284mb, T=0s CPU=0s W=(2026-04-29 14:20:01)
STATS:: after  LicenseMgr Init : M=1581.67mb, Malloc-M=403mb, Available-M=115274mb, T=0s CPU=0.79s W=(2026-04-29 14:20:01)
M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before Analyze M=1671.41mb, Malloc-M=447mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:17)
STATS:: after  Analyze M=1671.41mb, Malloc-M=447mb, Available-M=115226mb, T=2s CPU=0.41s W=(2026-04-29 14:20:19)
STATS:: before Load VCS Message: M=1671.41mb, Malloc-M=447mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:19)
STATS:: after  Load VCS Message: M=1671.41mb, Malloc-M=447mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:19)
STATS:: before Analyze M=1671.41mb, Malloc-M=449mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:19)
STATS:: after  Analyze M=1671.41mb, Malloc-M=449mb, Available-M=115226mb, T=1s CPU=0.3s W=(2026-04-29 14:20:20)
STATS:: before Load VCS Message: M=1671.41mb, Malloc-M=449mb, Available-M=115227mb, T=0s CPU=0s W=(2026-04-29 14:20:20)
STATS:: after  Load VCS Message: M=1671.41mb, Malloc-M=449mb, Available-M=115227mb, T=0s CPU=0s W=(2026-04-29 14:20:20)
STATS:: before Analyze M=1671.41mb, Malloc-M=449mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:20)
STATS:: after  Analyze M=1671.41mb, Malloc-M=449mb, Available-M=115224mb, T=1s CPU=0.31s W=(2026-04-29 14:20:21)
STATS:: before Load VCS Message: M=1671.41mb, Malloc-M=449mb, Available-M=115224mb, T=0s CPU=0s W=(2026-04-29 14:20:21)
STATS:: after  Load VCS Message: M=1671.41mb, Malloc-M=449mb, Available-M=115224mb, T=0s CPU=0s W=(2026-04-29 14:20:21)
STATS:: before Analyze M=1671.41mb, Malloc-M=449mb, Available-M=115224mb, T=0s CPU=0s W=(2026-04-29 14:20:21)
STATS:: after  Analyze M=1671.41mb, Malloc-M=449mb, Available-M=115225mb, T=1s CPU=0.29s W=(2026-04-29 14:20:22)
STATS:: before Load VCS Message: M=1671.41mb, Malloc-M=449mb, Available-M=115225mb, T=0s CPU=0s W=(2026-04-29 14:20:22)
STATS:: after  Load VCS Message: M=1671.41mb, Malloc-M=449mb, Available-M=115225mb, T=0s CPU=0s W=(2026-04-29 14:20:22)
STATS:: before Elaborate : M=1671.41mb, Malloc-M=450mb, Available-M=115225mb, T=0s CPU=0s W=(2026-04-29 14:20:22)
STATS:: after  Elaborate : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=7s CPU=2.33s W=(2026-04-29 14:20:29)
STATS:: before Load VCS Message: M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: after  Load VCS Message: M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0.07s W=(2026-04-29 14:20:29)
STATS:: before LoadCircuitModel : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   before VsiLib_Restore : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   after  VsiLib_Restore : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: after  LoadCircuitModel : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: before BuildNetlist : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   before NLDM Build : M=1671.41mb, Malloc-M=452mb, Available-M=115226mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   after  NLDM Build : M=1687.16mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0.02s W=(2026-04-29 14:20:29)
STATS:: |   before Cell properties : M=1687.16mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   after  Cell properties : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0.01s W=(2026-04-29 14:20:29)
STATS:: after  BuildNetlist : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0.07s W=(2026-04-29 14:20:29)
STATS:: before PropertyLoad: Formal Property : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: after  PropertyLoad: Formal Property : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: before PropertyLoad: Formal Property : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: after  PropertyLoad: Formal Property : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: before PropertyLoad: Formal Property : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: after  PropertyLoad: Formal Property : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: before set_abstractions: InvokedInAutoMode : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: after  set_abstractions: InvokedInAutoMode : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: before StaticCheck: StaticCheckProcess : M=1687.17mb, Malloc-M=472mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1687.17mb, Malloc-M=471mb, Available-M=115211mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   before StaticCheck: legalize : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   after  StaticCheck: legalize : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1696.2mb, Malloc-M=481mb, Available-M=115202mb, T=0s CPU=0s W=(2026-04-29 14:20:29)
