(2026-04-30 03:59:50),0.038748,0,start,1576.4,402,LicenseMgr Init : 
(2026-04-30 03:59:51),0.0560447,0,end,1581.67,403,LicenseMgr Init : 
(2026-04-30 04:00:16),0.486951,0,start,1671.53,448,Analyze 
(2026-04-30 04:00:18),0.512127,0,end,1671.53,448,Analyze 
(2026-04-30 04:00:18),0.512305,0,start,1671.53,448,Load VCS Message: 
(2026-04-30 04:00:18),0.512686,0,end,1671.53,448,Load VCS Message: 
(2026-04-30 04:00:18),0.515494,0,start,1671.53,450,Analyze 
(2026-04-30 04:00:19),0.531854,0,end,1671.53,450,Analyze 
(2026-04-30 04:00:19),0.532042,0,start,1671.53,450,Load VCS Message: 
(2026-04-30 04:00:19),0.532509,0,end,1671.53,450,Load VCS Message: 
(2026-04-30 04:00:19),0.533434,0,start,1671.53,450,Analyze 
(2026-04-30 04:00:20),0.549536,0,end,1671.53,450,Analyze 
(2026-04-30 04:00:20),0.549684,0,start,1671.53,450,Load VCS Message: 
(2026-04-30 04:00:20),0.550028,0,end,1671.53,450,Load VCS Message: 
(2026-04-30 04:00:20),0.550394,0,start,1671.53,450,Analyze 
(2026-04-30 04:00:21),0.566901,0,end,1671.53,450,Analyze 
(2026-04-30 04:00:21),0.567047,0,start,1671.53,450,Load VCS Message: 
(2026-04-30 04:00:21),0.567397,0,end,1671.53,450,Load VCS Message: 
(2026-04-30 04:00:21),0.568593,0,start,1671.53,451,Elaborate : 
(2026-04-30 04:00:28),0.681135,0,end,1671.53,453,Elaborate : 
(2026-04-30 04:00:28),0.681309,0,start,1671.53,453,Load VCS Message: 
(2026-04-30 04:00:28),0.683159,0,end,1671.53,453,Load VCS Message: 
(2026-04-30 04:00:28),0.683374,0,start,1671.53,453,LoadCircuitModel : 
(2026-04-30 04:00:28),0.68361,0,start,1671.53,453,VsiLib_Restore : 
(2026-04-30 04:00:28),0.683808,0,end,1671.53,453,VsiLib_Restore : 
(2026-04-30 04:00:28),0.68399,0,end,1671.53,453,LoadCircuitModel : 
(2026-04-30 04:00:28),0.684173,0,start,1671.53,453,BuildNetlist : 
(2026-04-30 04:00:28),0.684357,0,start,1671.53,453,NLDM Build : 
(2026-04-30 04:00:28),0.684951,0,end,1688,472,NLDM Build : 
(2026-04-30 04:00:28),0.685217,1,start,1688,472,Cell properties : 
(2026-04-30 04:00:28),0.685422,1,end,1688.01,472,Cell properties : 
(2026-04-30 04:00:28),0.685611,0,end,1688.01,472,BuildNetlist : 
(2026-04-30 04:00:28),0.685892,0,start,1688.01,472,PropertyLoad: Formal Property : 
(2026-04-30 04:00:28),0.686076,0,end,1688.01,472,PropertyLoad: Formal Property : 
(2026-04-30 04:00:28),0.686308,0,start,1688.01,472,PropertyLoad: Formal Property : 
(2026-04-30 04:00:28),0.686476,0,end,1688.01,472,PropertyLoad: Formal Property : 
(2026-04-30 04:00:28),0.686705,0,start,1688.01,472,PropertyLoad: Formal Property : 
(2026-04-30 04:00:28),0.686885,0,end,1688.01,472,PropertyLoad: Formal Property : 
(2026-04-30 04:00:28),0.687076,0,start,1688.01,472,set_abstractions: InvokedInAutoMode : 
(2026-04-30 04:00:28),0.687241,0,end,1688.01,472,set_abstractions: InvokedInAutoMode : 
(2026-04-30 04:00:28),0.687408,0,start,1688.01,472,StaticCheck: StaticCheckProcess : 
(2026-04-30 04:00:28),0.687558,0,start,1688.13,472,StaticCheck: NldfgFlatDesign : 
(2026-04-30 04:00:28),0.687711,0,start,1688.13,472,StaticCheck: createFlatDesign : 
(2026-04-30 04:00:29),0.688104,0,end,1697.16,482,StaticCheck: createFlatDesign : 
(2026-04-30 04:00:29),0.688272,0,start,1697.16,482,StaticCheck: legalize : 
(2026-04-30 04:00:29),0.688443,0,end,1697.16,482,StaticCheck: legalize : 
(2026-04-30 04:00:29),0.688588,0,start,1697.16,482,StaticCheck: computeNetEquivalences : 
(2026-04-30 04:00:29),0.688755,0,end,1697.16,482,StaticCheck: computeNetEquivalences : 
(2026-04-30 04:00:29),0.688927,0,start,1697.16,482,StaticCheck: eliminateBidirectionals : 
(2026-04-30 04:00:29),0.68909,0,end,1697.16,482,StaticCheck: eliminateBidirectionals : 
(2026-04-30 04:00:29),0.689241,0,end,1697.16,482,StaticCheck: NldfgFlatDesign : 
(2026-04-30 04:00:29),0.689404,0,start,1697.16,482,StaticCheck: CombLoopCheck  : 
(2026-04-30 04:00:29),0.689573,0,end,1697.16,482,StaticCheck: CombLoopCheck  : 
(2026-04-30 04:00:29),0.68974,0,start,1697.16,482,StaticCheck: MultiDriverCheck  : 
(2026-04-30 04:00:29),0.689917,0,end,1697.16,482,StaticCheck: MultiDriverCheck  : 
(2026-04-30 04:00:29),0.690085,0,end,1697.16,472,StaticCheck: StaticCheckProcess : 
(2026-04-30 04:00:29),0.690655,0,start,1697.16,472,populate SSF data: 
(2026-04-30 04:00:29),0.690835,0,end,1697.16,472,populate SSF data: 
(2026-04-30 04:00:29),0.690976,0,start,1697.16,472,DumpGateCountStats : 
(2026-04-30 04:00:29),0.691238,0,end,1697.16,472,DumpGateCountStats : 
(2026-04-30 04:00:29),0.691451,1,start,1697.16,482,ModuleDesignPropagation : 
(2026-04-30 04:00:29),0.691614,1,end,1697.16,482,ModuleDesignPropagation : 
(2026-04-30 04:00:29),0.691983,0,start,1697.3,482,map_by_name:  : 
(2026-04-30 04:00:29),0.692735,0,start,1715.34,482,map_by_name: primary input/output : 
(2026-04-30 04:00:29),0.69304,0,end,1715.34,482,map_by_name: primary input/output : 
(2026-04-30 04:00:29),0.693183,0,start,1715.34,482,map_by_name: undriven : 
(2026-04-30 04:00:29),0.693328,0,end,1715.34,482,map_by_name: undriven : 
(2026-04-30 04:00:29),0.693474,0,start,1715.34,482,map_by_name: blackbox : 
(2026-04-30 04:00:29),0.693617,0,end,1715.34,482,map_by_name: blackbox : 
(2026-04-30 04:00:29),0.693764,0,start,1715.34,482,map_by_name: CMA : 
(2026-04-30 04:00:29),0.693893,0,end,1715.34,482,map_by_name: CMA : 
(2026-04-30 04:00:29),0.694029,0,start,1715.34,482,map_by_name: abstraction : 
(2026-04-30 04:00:29),0.694148,0,end,1715.34,482,map_by_name: abstraction : 
(2026-04-30 04:00:29),0.694692,0,end,1715.34,482,map_by_name:  : 
(2026-04-30 04:00:29),0.695912,0,start,1715.34,482,sim build substep: 
(2026-04-30 04:00:29),0.696078,0,start,1715.34,482,Check: ConstraintsProcess : 
(2026-04-30 04:00:29),0.69632,0,start,1715.34,482,Check: PrepareConstraints : 
(2026-04-30 04:00:29),0.6965,0,end,1715.34,482,Check: PrepareConstraints : 
(2026-04-30 04:00:29),0.696632,0,start,1715.34,482,Check: CompileConstraints : 
(2026-04-30 04:00:29),0.696858,0,end,1715.34,483,Check: CompileConstraints : 
